Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2025-37770910-5,(BM) 2025-005703804-001,06/02/2025 06:59:18,"AVENIDA SANTA ROSA, Nº 10 - AEROPORTO - BELO HORIZONTE",-19.8504247,-43.9571896,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ASL-6148,Não,Não,Não,Desconhecido,Em controle,06/02/2025 07:00:03,Não
2025-37771179-0,(BM) 2025-005832358-001,06/02/2025 07:45:18,"TRAVESSA SAO FRANCISCO, Nº 100 - BONFIM - BOCAIUVA",-17.1066863,-43.8210598,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),7BBM/1CIA/PA BM(BOCAIUVA),BM1641893,Não,Não,Não,Desconhecido,Em controle,06/02/2025 07:48:44,Não
2025-37771256-0,(BM) 2025-005709777-001,06/02/2025 07:49:41,"LARGO DOM JOAO, Nº 114 - SAGRADO CORAÇÃO DE JESUS - DIAMANTINA",-18.2462339,-43.6014613,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/1PEL,BM1235431,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:15:45,Não
2025-37771267-6,(BM) 2025-005707815-001,06/02/2025 07:53:01,"ALAMEDA DOS IPES AMARELOS, Nº 25 - SAO MIGUEL - SALINAS",-16.1649859,-42.2827117,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),7BBM/1CIA/9PEL(SALINAS),BM1364827,Não,Não,Não,Desconhecido,Em controle,06/02/2025 07:53:34,Não
2025-37771373-3,(BM) 2025-005708729-001,06/02/2025 08:02:09,"RUA ANGELO DAYRELL DE MAGALHAES, Nº 6 - ERMÍRIO DE MORAIS - TRES MARIAS",-18.1997594,-45.2281719,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/4PEL(TRES MARIAS),BM1429323,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:08:17,Não
2025-37771354-9,(BM) 2025-005708456-001,06/02/2025 08:02:32,"AVENIDA MARECHAL DEODORO, Nº 134 - SAO GONCALO - JANAUBA",-15.8055581,-43.3063345,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),7BBM/1CIA/7PEL(JANAUBA),EDSON,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:03:28,Não
2025-37771499-1,(BM) 2025-005709780-001,06/02/2025 08:15:45,"RUA MARIO JOSE LISBOA, Nº 200 - ALTO DOS POCOES - JANUARIA",-15.4775888,-44.3869787,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),7BBM/1CIA/8PEL(JANUARIA),BM1549658,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:15:51,Não
2025-37771586-4,(BM) 2025-005710310-001,06/02/2025 08:20:32,"RUA RIO BRANCO, Nº 960 - PLANALTO - CAPELINHA",-17.7007229,-42.5146148,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/3PEL(CAPELINHA),BM1479898,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:20:36,Não
2025-37771745-6,(BM) 2025-005712532-001,06/02/2025 08:32:27,"RUA MATIAS CARDOSO, Nº 24 - FRANCISCO SA",-16.4787824,-43.4904107,X05003 - COORDENADOR DAS ATIVIDADES DE BOMBEIROS MILITAR DA UNIDADE (C) (Prioridade: 1 - Alta),7BBM/1CIA/PA BM(FRANCISCO SA),BM1275262,Não,Não,Não,Desconhecido,Em controle,06/02/2025 08:39:39,Não
2025-37773582-4,Desconhecido,06/02/2025 11:04:52,"AVENIDA VIRIATO RIBEIRO DE AQUINO, Nº 193 - CANELAS II - MONTES CLAROS",-16.7472215,-43.8719634,Q03007 - TREINAMENTO DE OPERACOES DE CANIL (C) (Prioridade: 2 - Média),7BBM/1CIA/4PEL,CBCORREA,Não,Não,Não,Desconhecido,No local,06/02/2025 11:05:05,Não
2025-37773716-9,(BM) 2025-005736560-001,06/02/2025 11:16:29,"RUA ANGELO DAYRELL DE MAGALHAES, Nº 6 - ERMÍRIO DE MORAIS - TRES MARIAS",-18.1997594,-45.2281719,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),BM1429323,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:49:45,Não
2025-37773993-9,(BM) 2025-005740057-001,06/02/2025 11:40:46,"RUA ANTONIO VIRIATO, Nº 193 - MONTES CLAROS",0.0,0.0,Q03007 - TREINAMENTO DE OPERACOES DE CANIL (C) (Prioridade: 2 - Média),7BBM/1CIA/4PEL,VOB01144,Não,Não,Não,Desconhecido,No local,06/02/2025 11:41:15,Não
2025-37774105-0,(BM) 2025-005830058-003,06/02/2025 11:55:31,"RODOVIA ESTRADA DA PRODUÇÃO, Nº S/N - MONTES CLAROS",0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ASM-9129,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:15:01,Não
2025-37774221-1,(BM) 2025-005743728-001,06/02/2025 12:04:27,"RUA MARIA QUITERIA, Nº 26 - JARDIM IMPERIAL - DIAMANTINA",0.0,0.0,V01010 - VITIMA COM DOR TORACICA/SUSPEITA DE INFARTO (IAM) (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/1PEL,UR04337,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:20:20,Não
2025-37774267-2,(BM) 2025-005766616-001,06/02/2025 12:11:52,"RUA ALTAIR CORDEIRO, Nº 1225 - SAGRADA FAMILIA - SAO FRANCISCO",-15.9428558,-44.8424868,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),7BBM/1CIA/8PEL(JANUARIA),ASL-2404,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:56:36,Não
2025-37775184-2,(BM) 2025-005829956-001,06/02/2025 13:40:13,FAZENDA CEDRO - ZONA RURAL - FRUTA DE LEITE,0.0,0.0,S04007 - BUSCA E SALVAMENTO DE PESSOA PERDIDA / DESAPARECIDA (C) (Prioridade: 1 - Alta),7BBM/1CIA/9PEL(SALINAS),ASL02255,Sim,Não,Não,Desconhecido,Terminada,06/02/2025 20:45:26,Não
2025-37775615-2,(BM) 2025-005757418-001,06/02/2025 14:07:17,"AVENIDA MARECHAL DEODORO DA FONSECA, Nº 202 - CENTRO - JANUARIA",-15.489427,-44.3634178,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),7BBM/1CIA/8PEL(JANUARIA),ASL06134,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:03:31,Não
2025-37775721-0,(BM) 2025-005758754-001,06/02/2025 14:13:31,"RUA ANALIA DO VALE MOREIRA, Nº 75 - CICERO PASSOS - PIRAPORA",-17.3295826,-44.9276096,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),BM1551704,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:34:07,Não
2025-37775899-1,(BM) 2025-005761563-001,06/02/2025 14:26:31,"RUA SAO JOAO, Nº S/N - SUBESTACAO - CAPELINHA",-17.6841274,-42.5195806,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/3PEL(CAPELINHA),VOB03608,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:10:16,Não
2025-37776341-4,(BM) 2025-005766958-001,06/02/2025 14:46:18,"PRACA JOAO PAO, Nº S/N - BOM JESUS - DIAMANTINA",-18.2408053,-43.605683,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/1PEL,UR04349,Não,Não,Não,Desconhecido,Em controle,06/02/2025 14:47:10,Não
2025-37776473-5,(BM) 2025-005768540-001,06/02/2025 14:52:34,"RUA CORONEL SERRAO, Nº 105 - CENTRO - JANUARIA",-15.4870784,-44.3630782,Y40014 - SUPORTE AEREO AVANCADO DE VIDA (C) (Prioridade: 1 - Alta),BOA/3CIA ESP OPE AE/COMANDANTE(M CLAROS),ARC06,Não,Não,Não,Desconhecido,No local intermediário,06/02/2025 19:02:02,Não
2025-37776815-7,(BM) 2025-005775632-001,06/02/2025 15:06:56,"RUA PEDRO DUARTE, Nº S/N - SANTO INACIO - DIAMANTINA",-18.2516657,-43.5953757,U80001 - COLOCACAO DE CORDA EM MASTRO (C) (Prioridade: 3 - Baixa),6CIA IND/1CIA/1PEL,ABTS3609,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:23:45,Não
2025-37777113-5,(BM) 2025-005776862-001,06/02/2025 15:21:23,"RUA TURMALINA, Nº 315 - PIEDADE - CAPELINHA",-17.6892924,-42.5189268,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/3PEL(CAPELINHA),VOB03608,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:49:52,Não
2025-37777297-0,(BM) 2025-005779615-001,06/02/2025 15:32:26,"RUA PERNAMBUCO, Nº 379 - CENTRO - TRES MARIAS",-18.2038904,-45.225041,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),UR04341,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:38:16,Não
2025-37777351-3,(BM) 2025-005779762-001,06/02/2025 15:34:01,"AVENIDA PIO XII, Nº S/N - SANTA TEREZINHA - PIRAPORA",-17.3426696,-44.9254821,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),UR04334,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:24:21,Não
2025-37777428-6,(BM) 2025-005780873-001,06/02/2025 15:38:50,"RUA PERNAMBUCO, Nº 372 - CENTRO - TRES MARIAS",-18.2039035,-45.224883,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),UR04341,Não,Não,Não,Desconhecido,Terminada,06/02/2025 16:03:52,Não
2025-37777659-9,(BM) 2025-005783914-001,06/02/2025 15:50:28,"RUA TIBURCIO CELESTINO, Nº 12 - BELA VISTA - CAPELINHA",-17.6887187,-42.5163008,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/3PEL(CAPELINHA),VOB03608,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:59:22,Não
2025-37777842-5,(BM) 2025-005786134-001,06/02/2025 16:00:07,"RUA RIO BRANCO, Nº 960 - PLANALTO - CAPELINHA",-17.7007229,-42.5146148,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/3PEL(CAPELINHA),BM1479898,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:11:18,Não
2025-37778153-5,(BM) 2025-005803870-001,06/02/2025 16:16:13,"AVENIDA JK, Nº 1521 - PLANALTO - FRANCISCO SA",-16.470034,-43.4753663,R05002 - MONITORAMENTO (C) (Prioridade: 2 - Média),7BBM/1CIA/PA BM(FRANCISCO SA),ASL06135,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:45:56,Não
2025-37778276-5,(BM) 2025-005795317-001,06/02/2025 16:24:13,"RUA PADRE AUGUSTO, Nº 467 - CENTRO - MONTES CLAROS",-16.7238229,-43.8631769,V02103 - VITIMA DE ATROPELAMENTO POR AUTOMOVEL (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),7BBM/1CIA/1PEL,UR04343,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:20:03,Não
2025-37778385-0,(BM) 2025-005792696-001,06/02/2025 16:29:50,"RUA ANGELO DAYRELL DE MAGALHAES, Nº 6 - ERMÍRIO DE MORAIS - TRES MARIAS",-18.1997594,-45.2281719,Q03004 - TREINAMENTO DE SALVAMENTO EM ALTURA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),BM1429323,Não,Não,Não,Desconhecido,Terminada,06/02/2025 17:38:49,Não
2025-37778677-6,(BM) 2025-005796092-001,06/02/2025 16:44:59,FAZENDA FAZENDA LAJES - ZONA RURAL - JURAMENTO,0.0,0.0,S06006 - EXTERMINIO DE INSETOS (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ACA-0141,Não,Não,Não,Desconhecido,No local,06/02/2025 16:44:59,Não
2025-37779951-1,Desconhecido,06/02/2025 18:00:42,"RUA PRIMEIRO DE MAIO, Nº S/N - PURQUERIA - DIAMANTINA",-18.2440001,-43.6064458,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/1PEL,VOB04872,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:23:19,Não
2025-37780510-3,(BM) 2025-005815112-001,06/02/2025 18:35:23,"AVENIDA MESTRA FININHA SILVEIRA, Nº 1228 - JARDIM SAO LUIZ - MONTES CLAROS",-16.7295973,-43.8746359,Q03004 - TREINAMENTO DE SALVAMENTO EM ALTURA (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ASM-9129,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:16:38,Não
2025-37780591-5,(BM) 2025-005819700-002,06/02/2025 18:41:51,"RUA JOSE BONIFACIO, Nº 106 - INDEPENDENCIA - MONTES CLAROS",0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ASM-9129,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:16:46,Não
2025-37780814-8,(BM) 2025-005817691-001,06/02/2025 18:55:51,"PRACA CASTELO BRANCO, Nº S/N - CENTRO - TRES MARIAS",-18.2054722,-45.228617,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/4PEL(TRES MARIAS),UR04341,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:05:05,Não
2025-37781073-6,(BM) 2025-005833077-001,06/02/2025 19:11:29,"LARGO DOM JOAO, Nº 114 - SAGRADO CORAÇÃO DE JESUS - DIAMANTINA",-18.2462339,-43.6014613,Q03004 - TREINAMENTO DE SALVAMENTO EM ALTURA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/1PEL,BM1235431,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:48:11,Não
2025-37781396-5,(BM) 2025-005825030-001,06/02/2025 19:32:19,"AVENIDA AEROPORTO, Nº S/N - ALTO DOS POCOES - JANUARIA",-15.4785426,-44.3865522,P03004 - PREVENCAO EM EVENTO ESPORTIVO (C) (Prioridade: 2 - Média),7BBM/1CIA/8PEL(JANUARIA),UR04335,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:47:34,Não
2025-37781763-4,(BM) 2025-005826796-001,06/02/2025 19:55:40,"AVENIDA NEWTON JOSE LOPES, Nº 267 - NOVA PIRAPORA - PIRAPORA",-17.340985,-44.9186896,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),UR04334,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:02:57,Não
2025-37781859-1,(BM) 2025-005829460-001,06/02/2025 20:02:28,"AVENIDA NEWTON JOSE LOPES, Nº 270 - NOVA PIRAPORA - PIRAPORA",-17.3413284,-44.9181787,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),UR04334,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:09:36,Não
2025-37782002-3,(BM) 2025-005829291-001,06/02/2025 20:09:04,"AVENIDA SALMERON, Nº S/N - CENTRO - PIRAPORA",-17.352006,-44.9499831,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6CIA IND/1CIA/2PEL(PIRAPORA),UR04334,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:12:45,Não
2025-37782226-0,(BM) 2025-005831115-001,06/02/2025 20:23:21,"TRAVESSA SAO FRANCISCO, Nº 100 - BONFIM - BOCAIUVA",-17.1066863,-43.8210598,Q03999 - OUTROS TIPOS DE TREINAMENTO (C) (Prioridade: 2 - Média),7BBM/1CIA/PA BM(BOCAIUVA),BM1481019,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:34:46,Não
2025-37782466-4,(BM) 2025-005833521-001,06/02/2025 20:39:11,"RUA PEDRO DUARTE, Nº 165 - DIAMANTINA",0.0,0.0,P02007 - VISTORIA EM RISCO DE INUNDACAO/ALAGAMENTO/ENXURRADA (C) (Prioridade: 2 - Média),6CIA IND/1CIA/1PEL,VOB04872,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:40:19,Não
2025-37782531-4,(BM) 2025-005833970-001,06/02/2025 20:42:25,"RUA VEREADOR EURICO SARMENTO, Nº 105 - ALVORADA - SALINAS",-16.1682385,-42.2977513,V02502 - VITIMA DE QUEDA (MOTOCICLISTA) (C) (Prioridade: 1 - Alta),7BBM/1CIA/9PEL(SALINAS),UR04342,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:10:03,Não
2025-37782641-2,(BM) 2025-005834868-001,06/02/2025 20:49:16,"AVENIDA JOAO ANTUNES DE OLIVEIRA, Nº 620 - VILA ARRAIOLO - DIAMANTINA",-18.237894,-43.6200804,O02027 - INCENDIO VEIC. AUTOMOTOR (EXCETO TANQUE/ONIBUS/MICRO-ONIBUS) (C) (Prioridade: 1 - Alta),6CIA IND/1CIA/1PEL,ABTS3609,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:47:35,Não
2025-37782903-7,(BM) 2025-005840395-001,06/02/2025 21:08:18,AVENIDA PROFESSOR VICENTE GUIMARAES / AVENIDA CULA MANGABEIRA - MONTES CLAROS,-16.7440411,-43.8728788,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ABTS-4674,Não,Não,Não,Desconhecido,À caminho,06/02/2025 21:33:04,Não
2025-37783536-3,(BM) 2025-005845030-001,06/02/2025 21:53:09,"RUA DA ARQUITETURA, Nº 191 - UNIVERSITARIO - MONTES CLAROS",-16.6866925,-43.8438803,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),7BBM/1CIA/1PEL,ASM-9129,Não,Não,Não,Desconhecido,No local,06/02/2025 22:14:09,Não
2025-37783898-4,(BM) 2025-005847330-001,06/02/2025 22:16:48,"RUA MIGUEL CARDOSO DE ARAUJO, Nº 106 - ESPLANADA - SALINAS",-16.1793268,-42.2895785,S04009 - SALVAMENTO DE PESSOA PRESA EM IMOVEL (C) (Prioridade: 2 - Média),7BBM/1CIA/9PEL(SALINAS),ASL02255,Não,Não,Não,Desconhecido,À caminho,06/02/2025 22:19:18,Não
2022-22578709-6,(PM) 2022-025101650-005 / (BM) 2022-025101650-004,12/06/2022 00:10:56,"RODOVIA BR 050, Km 42 - UBERLANDIA",-18.9568314,-48.3628853,V02403 - VITIMA DE COLISAO ENTRE AUTOMOVEIS (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),5BBM/1CIA/6PEL/OESTE,UR01025 / USA02133 / ACA1257 / ASM00932,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,12/06/2022 02:46:04,Não
2022-22855379-6,(PM) 2022-028075545-002 / (BM) 2022-028075545-001,30/06/2022 17:33:44,RUA JOSE ANDRAUS / AVENIDA ESTRELA DO SUL - MARTINS - UBERLANDIA,-18.9056882,-48.2795009,V02301 - VITIMA DE CAPOTAMENTO DE AUTOMOVEL (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),5BBM/1CIA/6PEL(CENTRO),UR01026 / ACA1257,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,30/06/2022 18:30:53,Não
2022-22925901-4,(BM) 2022-028805914-001,05/07/2022 12:38:47,"RUA ANTONIO REZENDE CHAVES, Nº 467 - SANTA MONICA - UBERLANDIA",-18.9175146,-48.2404554,V02402 - VITIMA DE COLISAO ENTRE MOTOCICLETAS (C) (Prioridade: 1 - Alta),5BBM/1CIA/7PEL(SAO JORGE),UR10570,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,05/07/2022 13:58:38,Não
2024-32479084-7,(BM) 2024-010888614-001,09/03/2024 11:40:01,"RUA RUA PAU BRASIL, Nº 385 - ARAXA",0.0,0.0,V02103 - VITIMA DE ATROPELAMENTO POR AUTOMOVEL (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),8BBM/2CIA/1PEL(ARAXA),UR04351,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,09/03/2024 20:08:12,Não
2024-32479583-7,(BM) 2024-010893920-001,09/03/2024 12:43:35,"RUA AMERICA APARECIDA HORDONES, Nº 265 - ARAXA",0.0,0.0,V02408 - VITIMA DE COLISAO ENTRE AUTOMOVEL X MOTOCICLETA (C) (Prioridade: 1 - Alta),8BBM/2CIA/1PEL(ARAXA),UR04351,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,09/03/2024 20:07:49,Não
2024-32912875-2,(BM) 2024-015302410-001,05/04/2024 00:44:23,"RUA VIGARIO SILVA, Nº 2201 - PARQUE BOM RETIRO - UBERABA",-19.7664193,-47.9394359,V03003 - VITIMA DE AGRESSAO FISICA COM ARMA BRANCA (C) (Prioridade: 1 - Alta),8BBM/1CIA/1PEL,UR11361,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,05/04/2024 06:27:15,Não
2024-33045424-1,(BM) 2024-016671906-001,12/04/2024 17:32:34,"RUA CORONEL ZACARIAS BORGES ARAUJO, Nº S/N - DISTRITO INDUSTRIAL II - UBERABA",-19.7066474,-47.9824913,V02203 - VITIMA DE CHOQUE DE AUTOMOVEL (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),8BBM/1CIA/1PEL,UR11361,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,12/04/2024 21:10:17,Não
